Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,-9999
1,Stephen Curry,GSW,$59606817,$62587158,,,,,$122193975,curryst01
2,Joel Embiid,PHI,$55224526,$57985752,$62624612,$67263472,,,$175834890,embiijo01
3,Nikola Jokić,DEN,$55224526,$59033114,$62841702,,,,$114257640,jokicni01
4,Kevin Durant,HOU,$54708609,,,,,,$54708609,duranke01
5,Jayson Tatum,BOS,$54126450,$58456566,$62786682,$67116798,$71446914,,$242486496,tatumja01
6,Giannis Antetokounmpo,MIL,$54126450,$58456566,$62786682,,,,$112583016,antetgi01
7,Anthony Davis,DAL,$54126450,$58456566,$62786682,,,,$112583016,davisan02
8,Jimmy Butler,GSW,$54126450,$56832773,,,,,$110959223,butleji01
9,Damian Lillard,MIL,$54126450,,,,,,$54126450,lillada01
10,Bradley Beal,PHO,$53666270,,,,,,$53666270,bealbr01
11,Jaylen Brown,BOS,$53142264,$57078728,$61015192,$64951656,,,$236187840,brownja02
12,Devin Booker,PHO,$53142264,$57078728,$61015192,,,,$171236184,bookede01
13,Karl-Anthony Towns,NYK,$53142264,$57078728,$61015192,,,,$110220992,townska01
14,LeBron James,LAL,$52627153,,,,,,$52627153,jamesle01
15,Paul George,PHI,$51666090,$54126380,$56586670,,,,$105792470,georgpa01
16,Kawhi Leonard,LAC,$50000000,$50300000,,,,,$100300000,leonaka01
17,Zach LaVine,SAC,$47499660,$48967380,,,,,$47499660,lavinza01
18,Evan Mobley,CLE,$46394100,$50105628,$53817156,$57528684,$51033510,,$258879078,mobleev01
19,Jamal Murray,DEN,$46394100,$50105628,$53817156,$57528684,,,$207845568,murraja01
20,Lauri Markkanen,UTA,$46394100,$46113154,$49824681,$53536209,,,$195868144,markkla01
21,Donovan Mitchell,CLE,$46394100,$50105628,$53817156,,,,$96499728,mitchdo01
22,Luka Dončić,LAL,$45999660,,,,,,$45999660,doncilu01
23,Trae Young,ATL,$45999660,$48967380,,,,,$45999660,youngtr01
24,Anthony Edwards,MIN,$45550512,$48924624,$52298736,$55672848,,,$202446720,edwaran01
25,Tyrese Haliburton,IND,$45550512,$48924624,$52298736,$55672848,,,$202446720,halibty01
26,Pascal Siakam,IND,$45550512,$48924624,$52298736,,,,$146773872,siakapa01
27,Domantas Sabonis,SAC,$43636000,$46772000,$49908000,,,,$140316000,sabondo01
28,OG Anunoby,NYK,$39568966,$42500000,$45431034,$48362068,,,$127500000,anunoog01
29,Zion Williamson,NOP,$39446090,$42166510,$44886930,,,,$126499530,willizi01
30,Ja Morant,MEM,$39446090,$42166510,$44886930,,,,$126499530,moranja01
31,Darius Garland,CLE,$39446090,$42166510,$44886930,,,,$126499530,garlada01
32,Scottie Barnes,TOR,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,barnesc01
33,Franz Wagner,ORL,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,wagnefr01
34,Cade Cunningham,DET,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,cunnica01
35,Shai Gilgeous-Alexander,OKC,$38333050,$40806150,,,,,$79139200,gilgesh01
36,Michael Porter Jr.,BRK,$38333050,$40806150,,,,,$50333050,portemi01
37,Brandon Ingram,TOR,$38095238,$40000000,$41904762,,,,$78095238,ingrabr01
38,Tyrese Maxey,PHI,$37958760,$40770520,$43582280,$46394040,,,$168705600,maxeyty01
39,LaMelo Ball,CHO,$37958760,$40770520,$43582280,$46394040,,,$168705600,ballla01
40,Bam Adebayo,MIA,$37096620,$48713700,$52610796,$56507892,,,$138421116,adebaba01
41,De'Aaron Fox,SAS,$37096620,,,,,,$37096620,foxde01
42,Desmond Bane,ORL,$36725670,$39446090,$42166510,$44886930,,,$163225200,banede01
43,Deandre Ayton,POR,$35550814,,,,,,$35550814,aytonde01
44,Jalen Suggs,ORL,$35000000,$32400000,$29600000,$26800000,$26700000,,$123800000,suggsja01
45,Rudy Gobert,MIN,$35000000,$36500000,$38000000,,,,$71500000,goberru01
46,Jaren Jackson Jr.,MEM,$35000000,,,,,,$35000000,jacksja02
47,Jalen Brunson,NYK,$34944001,$37739521,$40535041,$43330561,,,$113218563,brunsja01
48,Alperen Şengün,HOU,$33944954,$35642202,$37339450,$39036697,$39036697,,$145963303,sengual01
49,Jalen Green,PHO,$33333333,$36000000,$36000000,,,,$69333333,greenja05
50,Khris Middleton,WAS,$33296296,,,,,,$33296296,middlkh01
51,Immanuel Quickley,TOR,$32500000,$32500000,$32500000,$32500000,,,$130000000,quickim01
52,Jrue Holiday,POR,$32400000,$34800000,$37200000,,,,$67200000,holidjr01
53,Jerami Grant,POR,$32000001,$34206898,$36413790,,,,$66206899,grantje01
54,Jordan Poole,NOP,$31848215,$34044642,,,,,$65892857,poolejo01
55,Dejounte Murray,NOP,$31557103,$33597072,$31619506,,,,$65154175,murrade01
56,Tyler Herro,MIA,$31000000,$33000000,,,,,$64000000,herroty01
57,Kristaps Porziņģis,ATL,$30731707,,,,,,$30731707,porzikr01
58,CJ McCollum,WAS,$30666666,,,,,,$30666666,mccolcj01
59,Jalen Johnson,ATL,$30000000,$30000000,$30000000,$30000000,$30000000,,$150000000,johnsja05
60,Isaiah Hartenstein,OKC,$28500000,$28500000,,,,,$28500000,harteis01
61,Andrew Wiggins,MIA,$28223215,$30169644,,,,,$28223215,wiggian01
62,Derrick White,BOS,$28100000,$30348000,$32596000,$34844000,,,$91044000,whitede01
63,RJ Barrett,TOR,$27705357,$29616071,,,,,$57321428,barrerj01
64,Anfernee Simons,BOS,$27678571,,,,,,$27678571,simonan01
65,Devin Vassell,SAS,$27000000,$27000000,$24652174,$27000000,,,$105652174,vassede01
66,Terry Rozier,MIA,$26643031,,,,,,$26643031,roziete01
67,Tobias Harris,DET,$26634146,,,,,,$26634146,harrito02
68,John Collins,LAC,$26580000,,,,,,$26580000,collijo01
69,Draymond Green,GSW,$25892857,$27678571,,,,,$53571428,greendr01
70,Nic Claxton,BRK,$25352272,$23147727,$20943184,,,,$69443183,claxtni01
71,Trey Murphy III,NOP,$25000000,$27000000,$29000000,$31000000,,,$112000000,murphtr02
72,Miles Bridges,CHO,$25000000,$22826087,,,,,$47826087,bridgmi02
73,Mikal Bridges,NYK,$24900000,,,,,,$24900000,bridgmi01
74,Jaden McDaniels,MIN,$24858622,$26700001,$28541380,$30382755,,,$110482758,mcdanja02
75,DeMar DeRozan,SAC,$24570000,$25740000,,,,,$24570000,derozde01
76,De'Andre Hunter,CLE,$23303571,$24910714,,,,,$48214285,huntede01
77,Aaron Gordon,DEN,$22841455,$31978037,$34536280,$37094523,,,$89355772,gordoaa01
78,Kyle Kuzma,MIL,$22410605,$20345152,,,,,$42755757,kuzmaky01
79,Kentavious Caldwell-Pope,MEM,$21621500,$21621500,,,,,$21621500,caldwke01
80,Marcus Smart,WAS,$21586855,,,,,,$21586855,smartma01
81,Nikola Vučević,CHI,$21481481,,,,,,$21481481,vucevni01
82,Dillon Brooks,PHO,$21124110,$19992727,,,,,$41116837,brookdi01
83,Cameron Johnson,DEN,$20543478,$22500000,,,,,$43043478,johnsca02
84,Norman Powell,MIA,$20482758,,,,,,$20482758,powelno01
85,Jarrett Allen,CLE,$20000000,$28000000,$30240000,$32480000,,,$110720000,allenja01
86,Jakob Poeltl,TOR,$19500000,$19500000,,,,,$39000000,poeltja01
87,Josh Hart,NYK,$19472240,$20923760,$22375280,,,,$40396000,hartjo01
88,Jusuf Nurkić,UTA,$19375000,,,,,,$19375000,nurkiju01
89,Collin Sexton,CHO,$19175000,,,,,,$19175000,sextoco01
90,Harrison Barnes,SAS,$19000000,,,,,,$19000000,barneha02
91,Malik Monk,SAC,$18797619,$20190035,$21582451,,,,$38987654,monkma01
92,Rui Hachimura,LAL,$18259259,,,,,,$18259259,hachiru01
93,Alex Caruso,OKC,$18102000,$19550160,$20998320,$22446480,,,$81096960,carusal01
94,Ivica Zubac,LAC,$18102000,$19550160,$20998320,,,,$58650480,zubaciv01
95,Andrew Nembhard,IND,$18102000,$19550160,$20998320,,,,$58650480,nembhan01
96,Zach Collins,CHI,$18080496,,,,,,$18080496,colliza01
97,Patrick Williams,CHI,$18000000,$18000000,$18000000,$18000000,,,$54000000,willipa01
98,Kevin Huerter,CHI,$17991071,,,,,,$17991071,huertke01
99,Luguentz Dort,OKC,$17722222,$17722222,,,,,$17722222,dortlu01
100,Keldon Johnson,SAS,$17500000,$17500000,,,,,$35000000,johnske04
101,Grayson Allen,PHO,$16875000,$18125000,$19375000,,,,$35000000,allengr01
102,Klay Thompson,DAL,$16666667,$17460317,,,,,$34126984,thompkl01
103,Bogdan Bogdanović,LAC,$16020000,$16020000,,,,,$16020000,bogdabo01
104,Max Strus,CLE,$15936452,$16660836,,,,,$32597288,strusma01
105,Terance Mann,BRK,$15500000,$15500000,$16000000,,,,$47000000,mannte01
106,Paolo Banchero,ORL,$15334769,,,,,,$15334769,banchpa01
107,Onyeka Okongwu,ATL,$15000000,$16120000,$16880000,,,,$48000000,okongon01
108,Jonathan Isaac,ORL,$15000000,$14500000,$14500000,$15000000,,,$44000000,isaacjo01
109,Isaiah Stewart,DET,$15000000,$15000000,$15000000,,,,$30000000,stewais01
110,Daniel Gafford,DAL,$14386320,,,,,,$14386320,gaffoda01
111,Deni Avdija,POR,$14375000,$13125000,$11875000,,,,$39375000,avdijde01
112,Jordan Clarkson,UTA,$14285714,,,,,,$14285714,clarkjo01
113,P.J. Washington,DAL,$14152174,,,,,,$14152174,washipj01
114,Obi Toppin,IND,$14000000,$15000000,$16025000,,,,$45025000,toppiob01
115,Corey Kispert,WAS,$13975000,$13975000,$13050000,$13050000,,,$41000000,kispeco01
116,Herbert Jones,NOP,$13937574,$14898786,,,,,$28836360,joneshe01
117,Austin Reaves,LAL,$13937574,$14898786,,,,,$13937574,reaveau01
118,Cooper Flagg,DAL,$13825920,$14517480,$15208680,$19178146,,,$28343400,flaggco01
119,Chet Holmgren,OKC,$13731368,,,,,,$13731368,holmgch01
120,Josh Green,CHO,$13666667,$14679012,,,,,$28345679,greenjo02
121,Grant Williams,CHO,$13645500,$14265750,,,,,$27911250,willigr01
122,Kelly Olynyk,SAS,$13445122,,,,,,$13445122,olynyke01
123,Victor Wembanyama,SAS,$13376880,$16868246,,,,,$13376880,wembavi01
124,Robert Williams,POR,$13285713,,,,,,$13285713,williro04
125,Zaccharie Risacher,ATL,$13197720,$13826040,$17434637,,,,$13197720,risacza01
126,Cole Anthony,MEM,$13100000,,,,,,$13100000,anthoco01
127,Mitchell Robinson,NYK,$12954546,,,,,,$12954546,robinmi01
128,Coby White,CHI,$12888889,,,,,,$12888889,whiteco01
129,Brandon Clarke,MEM,$12500000,$12500000,,,,,$25000000,clarkbr01
130,Dylan Harper,SAS,$12370320,$12989040,$13607760,$17172994,,,$25359360,harpedy01
131,Isaiah Joe,OKC,$12362338,$11323006,$11323006,,,,$23685344,joeis01
132,Jabari Smith Jr.,HOU,$12350392,,,,,,$12350392,smithja05
133,Donte DiVincenzo,MIN,$11990000,$12535000,,,,,$24525000,divindo01
134,Brandon Miller,CHO,$11968800,$15104626,,,,,$11968800,millebr02
135,Alex Sarr,WAS,$11808240,$12370680,$15611798,,,,$11808240,sarral01
136,Moses Moody,GSW,$11574075,$12500000,$13425925,,,,$37500000,moodymo01
137,Jarred Vanderbilt,LAL,$11571429,$12428571,$13285714,,,,$24000000,vandeja01
138,Matisse Thybulle,POR,$11550000,,,,,,$11550000,thybuma01
139,Gabe Vincent,LAL,$11500000,,,,,,$11500000,vincega01
140,Keegan Murray,SAC,$11144093,,,,,,$11144093,murrake02
141,VJ Edgecombe,PHI,$11108880,$11663880,$12219720,$15445727,,,$22772760,edgecvj01
142,Luke Kornet,SAS,$11000000,$10450000,$9900000,$9350000,,,$24000000,kornelu01
143,Isaac Okoro,CHI,$11000000,$11814814,,,,,$22814814,okorois01
144,Aaron Nesmith,IND,$11000000,$11000000,,,,,$22000000,nesmiaa01
145,Maxi Kleber,LAL,$11000000,,,,,,$11000000,klebima01
146,Wendell Carter Jr.,ORL,$10850000,$18102000,$19550160,$20998320,,,$48502160,cartewe01
147,Mike Conley,MIN,$10774038,,,,,,$10774038,conlemi01
148,Scoot Henderson,POR,$10748040,$13585523,,,,,$10748040,hendesc01
149,Reed Sheppard,HOU,$10603560,$11108880,$14041625,,,,$10603560,sheppre01
150,Jonas Valančiūnas,DEN,$10395000,$10000000,,,,,$10395000,valanjo01
151,T.J. McConnell,IND,$10200000,$11000000,$11800000,$11800000,,,$33000000,mccontj01
152,Royce O'Neale,PHO,$10125000,$10875000,$11625000,,,,$32625000,onealro01
153,Jaden Ivey,DET,$10107163,,,,,,$10107163,iveyja01
154,Sam Hauser,BOS,$10044644,$10848215,$11651785,$12455356,,,$45000000,hausesa01
155,Kon Knueppel,CHO,$10015680,$10516560,$11017560,$13937214,,,$20532240,knuepko01
156,Derrick Jones Jr.,LAC,$10000000,$10476190,,,,,$20476190,jonesde02
157,Lonzo Ball,CLE,$10000000,$10000000,,,,,$10000000,balllo01
158,Duncan Robinson,MIA,$9888000,,,,,,$9888000,robindu01
159,Amen Thompson,HOU,$9690600,$12258609,,,,,$9690600,thompam01
160,Aaron Wiggins,OKC,$9672897,$8831776,$7990655,$7990655,,,$34485983,wiggiaa01
161,Caleb Martin,DAL,$9594044,$10001493,$9371351,,,,$19595537,martica02
162,Stephon Castle,SAS,$9560520,$10015920,$12670139,,,,$9560520,castlst01
163,Pat Connaughton,CHO,$9423869,,,,,,$9423869,connapa01
164,Buddy Hield,GSW,$9219512,$9658536,$10097560,,,,$18878048,hieldbu01
165,Kyle Anderson,UTA,$9219512,$9658536,,,,,$9219512,anderky01
166,Bennedict Mathurin,IND,$9187573,,,,,,$9187573,mathube01
167,Ace Bailey,UTA,$9069840,$9523080,$9976560,$12640302,,,$18592920,baileac01
168,Naji Marshall,DAL,$9000000,$9428571,,,,,$18428571,marshna01
